YEAR, MONTH, DAY, SLAT, SLON, MAG, MAGTYPE
2011, 08, 20, 18.277, +168.067, 7.1, MW
1987, 06, 17, 5.563, +130.834, 7.1, mw
1997, 10, 15, 30.891, 71.139, 7.1, mw
1989, 02, 10, +2.295, +126.783, 7.1, mw
1988, 02, 05, 24.765, 70.455, 7.1, mw
2007, 03, 25, 20.567, +169.346, 7.1, MW
1996, 02, 07, +45.258, +149.890, 7.1, mw
2004, 01, 03, 22.304, +169.660, 7.1, MW
2018, 08, 24, 11.042, 70.817, 7.1, Mww
1994, 09, 01, +40.436, 125.691, 7.1, mw
2016, 01, 24, +59.620, 153.339, 7.1, mww
1986, 01, 15, 21.301, +170.131, 7.1, mw
2013, 10, 15, +9.833, +124.123, 7.1, MW
2019, 07, 06, +35.770, 117.599, 7.1, mw
2013, 10, 25, +37.146, +144.754, 7.1, MW
2010, 08, 12, 1.278, 77.369, 7.1, MW
1987, 10, 16, 6.208, +149.056, 7.1, mw
2013, 02, 06, 11.257, +164.930, 7.1, MW
2000, 02, 25, 19.578, +173.824, 7.1, Mw
2001, 02, 24, +1.334, +126.335, 7.1, MW
2011, 01, 02, 38.391, 73.399, 7.1, MW
1997, 05, 25, 32.115, +179.819, 7.1, mw
1996, 02, 25, +15.963, 98.091, 7.1, mw
1986, 08, 30, +45.537, +26.314, 7.1, mw
1985, 11, 17, 1.832, +134.840, 7.1, mw
1999, 03, 04, +5.394, +121.923, 7.1, Mw
1989, 12, 07, 6.436, +146.400, 7.1, mw
1986, 06, 16, 21.932, 178.960, 7.1, mw
1985, 12, 21, 13.983, +166.512, 7.1, mw
2011, 10, 23, +38.729, +43.447, 7.1, MW
2000, 03, 21, 18.000, 179.000, 7.1, Mb
2017, 09, 19, +18.568, 98.481, 7.1, Mww
1995, 11, 22, +28.809, +34.795, 7.1, mw
2010, 01, 12, +18.382, 72.588, 7.0, MW
1999, 12, 06, +57.395, 154.574, 7.0, Mw
2015, 07, 27, 2.713, +138.543, 7.0, MW
2004, 11, 28, +42.902, +145.209, 7.0, MW
2001, 01, 09, 14.967, +167.193, 7.0, MW
2013, 08, 30, +51.500, 175.214, 7.0, MW
2007, 09, 13, 2.157, +99.573, 7.0, Mw
2020, 10, 30, +37.917, +26.790, 7.0, mww
2015, 05, 22, 11.134, +163.594, 7.0, MW
2009, 09, 02, 7.735, +107.411, 7.0, MW
2003, 03, 17, +51.239, +177.915, 7.0, MW
2011, 09, 03, 20.628, +169.778, 7.0, MW
2012, 03, 14, +40.842, +145.015, 7.0, MW
2001, 10, 31, 5.962, +150.220, 7.0, MW
2011, 08, 20, 18.331, +168.226, 7.0, MW
2000, 04, 19, +36.520, +27.348, 7.0, MD
2013, 09, 25, 15.900, 74.601, 7.0, MW
1994, 02, 12, 20.564, +169.336, 7.0, mw
2002, 04, 26, +13.032, +144.688, 7.0, MW
1999, 11, 15, 1.374, +88.969, 7.0, Mw
2000, 04, 23, 28.289, 62.944, 7.0, Mw
2014, 11, 15, +1.834, +126.463, 7.0, MW
2002, 03, 20, +34.276, 176.450, 7.0, MS
2000, 10, 29, 5.094, +153.882, 7.0, Mw
2017, 11, 19, 21.334, +168.683, 7.0, Mww
2000, 10, 04, 15.391, +166.909, 7.0, Mw
2020, 07, 17, 7.839, +147.775, 7.0, mww
2014, 10, 09, 32.299, 110.924, 7.0, MW
1999, 11, 19, 6.322, +148.700, 7.0, Mw
2020, 02, 13, +45.631, +148.929, 7.0, mww
2002, 01, 02, 15.600, +170.400, 7.0, mb
1997, 12, 22, 5.559, +147.838, 7.0, mw
2000, 03, 25, +44.000, +150.000, 7.0, Mb
