YEAR, MONTH, DTEMPC
1939, 01, -0.045
1939, 02, 0.042
1939, 03, -0.338
1939, 04, -0.133
1939, 05, -0.016
1939, 06, 0.010
1939, 07, 0.100
1939, 08, 0.148
1939, 09, 0.136
1939, 10, -0.105
1939, 11, 0.138
1939, 12, 0.564
1940, 01, -0.488
1940, 02, -0.086
1940, 03, -0.153
1940, 04, 0.097
1940, 05, -0.036
1940, 06, 0.059
1940, 07, 0.136
1940, 08, 0.050
1940, 09, 0.163
1940, 10, 0.079
1940, 11, 0.105
1940, 12, 0.185
1941, 01, -0.044
1941, 02, 0.114
1941, 03, -0.201
1941, 04, -0.009
1941, 05, 0.016
1941, 06, 0.132
1941, 07, 0.147
1941, 08, 0.073
1941, 09, -0.016
1941, 10, 0.293
1941, 11, -0.009
1941, 12, -0.046
1942, 01, 0.146
1942, 02, -0.167
1942, 03, -0.232
1942, 04, -0.054
1942, 05, -0.021
1942, 06, 0.097
1942, 07, 0.050
1942, 08, -0.061
1942, 09, 0.073
1942, 10, 0.167
1942, 11, 0.150
1942, 12, 0.124
1943, 01, -0.302
1943, 02, 0.291
1943, 03, -0.222
1943, 04, 0.237
1943, 05, 0.180
1943, 06, -0.081
1943, 07, -0.031
1943, 08, 0.132
1943, 09, 0.126
1943, 10, 0.354
1943, 11, 0.148
1943, 12, 0.385
1944, 01, 0.636
1944, 02, 0.395
1944, 03, 0.151
1944, 04, -0.029
1944, 05, 0.190
1944, 06, 0.053
1944, 07, 0.115
1944, 08, 0.188
1944, 09, 0.337
1944, 10, 0.372
1944, 11, -0.003
1944, 12, -0.167
1945, 01, -0.004
1945, 02, -0.254
1945, 03, -0.107
1945, 04, 0.172
1945, 05, -0.000
1945, 06, 0.039
1945, 07, -0.014
1945, 08, 0.264
1945, 09, 0.187
1945, 10, 0.240
1945, 11, 0.058
1945, 12, -0.303
1946, 01, 0.310
1946, 02, 0.180
1946, 03, -0.060
1946, 04, 0.328
1946, 05, -0.055
1946, 06, -0.105
1946, 07, 0.006
1946, 08, 0.011
1946, 09, 0.065
1946, 10, 0.005
1946, 11, 0.054
1946, 12, -0.449
1947, 01, -0.233
1947, 02, -0.219
1947, 03, 0.031
1947, 04, 0.169
1947, 05, -0.056
1947, 06, -0.074
1947, 07, -0.049
1947, 08, 0.031
1947, 09, 0.106
1947, 10, 0.387
1947, 11, 0.133
1947, 12, -0.053
1948, 01, 0.447
1948, 02, -0.062
1948, 03, -0.230
1948, 04, 0.091
1948, 05, 0.211
1948, 06, 0.218
1948, 07, 0.025
1948, 08, 0.148
1948, 09, 0.077
1948, 10, 0.140
1948, 11, 0.067
1948, 12, -0.208
1949, 01, 0.361
1949, 02, -0.070
1949, 03, -0.223
1949, 04, 0.062
1949, 05, 0.042
1949, 06, -0.174
1949, 07, -0.135
1949, 08, 0.046
1949, 09, -0.123
1949, 10, 0.120
1949, 11, 0.010
1949, 12, -0.246
1950, 01, -0.389
1950, 02, -0.248
1950, 03, -0.115
1950, 04, -0.185
1950, 05, -0.068
1950, 06, -0.119
1950, 07, -0.185
1950, 08, -0.171
1950, 09, -0.066
1950, 10, -0.008
1950, 11, -0.408
1950, 12, -0.088
1951, 01, -0.296
1951, 02, -0.574
1951, 03, -0.317
1951, 04, 0.016
1951, 05, 0.129
1951, 06, 0.020
1951, 07, 0.124
1951, 08, 0.304
1951, 09, 0.325
1951, 10, 0.305
1951, 11, 0.083
1951, 12, 0.489
1952, 01, 0.255
1952, 02, 0.115
1952, 03, -0.316
1952, 04, 0.097
1952, 05, 0.089
1952, 06, 0.172
1952, 07, 0.155
1952, 08, 0.149
1952, 09, 0.171
1952, 10, -0.006
1952, 11, -0.340
1952, 12, -0.081
1953, 01, 0.201
1953, 02, 0.269
1953, 03, 0.220
1953, 04, 0.275
1953, 05, 0.175
1953, 06, 0.236
1953, 07, 0.207
1953, 08, 0.261
1953, 09, 0.177
1953, 10, 0.227
1953, 11, -0.065
1953, 12, 0.205
1954, 01, -0.273
1954, 02, -0.077
1954, 03, -0.262
1954, 04, -0.079
1954, 05, -0.177
1954, 06, 0.011
1954, 07, -0.065
1954, 08, 0.016
1954, 09, 0.060
1954, 10, 0.085
1954, 11, 0.199
1954, 12, -0.156
1955, 01, 0.375
1955, 02, -0.105
1955, 03, -0.558
1955, 04, -0.237
